 ,Single Filer,Unnamed: 2,Unnamed: 3,Married Filing Jointly,Unnamed: 5,Unnamed: 6,Standard Deduction,Unnamed: 8,Personal Exemption,Unnamed: 10,Unnamed: 11, .1, .2
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent,,
Ala.,0.02,>,0,0.02,>,0,3000,8500,1500,3000,1000,,
"(a, b, c, uu)",0.04,>,500,0.04,>,1000, , , ,,,,
,0.05,>,3000,0.05,>,6000, ,, ,,,,
, ,,, ,,, ,, ,,,,
Alaska,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
"Ariz. (e, f, u, vv)",0.025,>,0,0.025,>,0,8350,16700,n.a.,n.a.,$100 credit,,
, ,,, ,,, ,,,,,,
Ark.,0.02,>,0,0.02,>,0,2470,4940,$29 credit,$58 credit,$29 credit,,
"(d, g, h, j, kk)",0.039,>,4600,0.039,>,4600, ,, ,,,,
, ,,, ,,, ,, ,,,,
, ,,, ,,, ,, ,,,,
Calif.,0.01,>,0,0.01,>,0,5540,11080,$153 credit,$306 credit,$153 credit,,
"(a, h, j, k, l, m, n, nn)",0.02,>,11079,0.02,>,22158, ,,,,,,
,0.04,>,26264,0.04,>,52528, ,, ,,,,
,0.06,>,41452,0.06,>,82904, ,, ,,,,
,0.08,>,57542,0.08,>,115084, ,, ,,,,
,0.093,>,72724,0.093,>,145448, ,, ,,,,
,0.103,>,371479,0.103,>,742958, ,, ,,,,
,0.113,>,445771,0.113,>,891542, ,, ,,,,
,0.123,>,742953,0.123,>,1000000, ,, ,,,,
,0.133,>,1000000,0.133,>,1485906, ,, ,,,,
, ,,, ,,, ,, ,,,,
"Colo. (a, o)",0.044,>,0,0.044,>,0,16100,32200,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
Conn.,0.02,>,0,0.02,>,0,n.a.,n.a.,15000,24000,0,,
"(i, p, q, r)",0.045,>,10000,0.045,>,20000, ,, ,,,,
,0.055,>,50000,0.055,>,100000, ,, ,,,,
,0.06,>,100000,0.06,>,200000, ,, ,,,,
,0.065,>,200000,0.065,>,400000, ,, ,,,,
,0.069,>,250000,0.069,>,500000, ,, ,,,,
,0.0699,>,500000,0.0699,>,1000000, ,, ,,,,
, ,,, ,,, ,, ,,,,
Del.,0.022,>,2000,0.022,>,2000,3250,6500,$110 credit,$220 credit,$110 credit,,
"(a, h, m, s)",0.039,>,5000,0.039,>,5000, ,,,,,,
,0.048,>,10000,0.048,>,10000, ,, ,,,,
,0.052,>,20000,0.052,>,20000, ,, ,,,,
,0.0555,>,25000,0.0555,>,25000, ,, ,,,,
,0.066,>,60000,0.066,>,60000, ,, ,,,,
, ,,, ,,, ,, ,,,,
Fla.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
Ga.,0.0519,>,0,0.0519,>,0,12000,24000,n.a.,n.a.,4000,,
, ,,, ,,, ,,,,,,
Hawaii,0.014,>,0,0.014,>,0,4400,8800,1144,2288,1144,,
"(m, t)",0.032,>,9600,0.032,>,19200, ,,,,,,
,0.055,>,14400,0.055,>,28800, ,, ,,,,
,0.064,>,19200,0.064,>,38400, ,, ,,,,
,0.068,>,24000,0.068,>,48000, ,, ,,,,
,0.072,>,36000,0.072,>,72000, ,, ,,,,
,0.076,>,48000,0.076,>,96000, ,, ,,,,
,0.079,>,125000,0.079,>,250000, ,, ,,,,
,0.0825,>,175000,0.0825,>,350000, ,, ,,,,
,0.09,>,225000,0.09,>,450000, ,, ,,,,
,0.1,>,275000,0.1,>,550000, ,, ,,,,
,0.11,>,325000,0.11,>,650000, ,, ,,,,
, ,,, ,,, ,, ,,,,
"Idaho (j, m, o, u)",0.053,>,4811,0.053,>,9622,16100,32200,n.a.,n.a.,n.a.,,
, ,,, ,,, ,,,,,,
"Ill. (d, m, v)",0.0495,>,0,0.0495,>,0,n.a.,n.a.,2925,5850,2925,,
, ,,, ,,, ,,,,,,
"Ind. (a, m, w)",0.0295,>,0,0.0295,>,0,n.a.,n.a.,1000,2000,1000,,
,,,,,,,,,,,,,
Iowa,0.038,>,0,0.038,>,0,16100,32200,$40 credit,$80 credit,$40 credit,,
"(a, h, o)", ,,, ,,, ,, ,,,,
, ,,, ,,, ,, ,,,,
Kans. ,0.052,>,0,0.052,>,0,3605,8240,9160,18320,2320,,
"(a, m)",0.0558,>,23000,0.0558,>,46000, ,,,,,,
, ,,, ,,, ,, ,,,,
Ky.,0.035,>,0,0.035,>,0,3360,3360,n.a.,n.a.,n.a.,,
"(a, d, z)", ,,, ,,, ,,,,,,
, ,,, ,,, ,, ,,,,
La.,0.03,>,0,0.03,>,0,12875,25750,n.a.,n.a.,n.a.,,
(d), ,,, ,,, ,,,,,,
,,,,,,,,,,,,,
Maine,0.058,>,0,0.058,>,0,8350,16700,5300,10600,$305 credit,,
"(u, y, bb, ll, vv, ww)",0.0675,>,27399,0.0675,>,54849, ,, ,,,,
,0.0715,>,64849,0.0715,>,129749, ,, ,,,,
, ,,, ,,, ,, ,,,,
Md.,0.02,>,0,0.02,>,0,3350,6700,3200,6400,3200,,
"(a, m, x, vv, aa)",0.03,>,1000,0.03,>,1000, ,,,,,,
,0.04,>,2000,0.04,>,2000, ,, ,,,,
,0.0475,>,3000,0.0475,>,3000, ,, ,,,,
,0.05,>,100000,0.05,>,150000, ,, ,,,,
,0.0525,>,125000,0.0525,>,175000, ,, ,,,,
,0.055,>,150000,0.055,>,225000, ,, ,,,,
,0.0575,>,250000,0.0575,>,300000, ,, ,,,,
,0.0625,>,500000,0.0625,>,600000, ,, ,,,,
,0.065,>,1000000,0.065,>,1200000, ,, ,,,,
, ,,, ,,, ,, ,,,,
"Mass. (j, rr)",0.05,>,0,0.05,>,0,n.a.,n.a.,4400,8800,1000,,
,0.09,>,1083150,0.09,>,1083150, ,, ,,,,
,,,,,,,,,,,,,
"Mich. (a, d)",0.0425,>,0,0.0425,>,0,n.a.,n.a.,5900,11800,5900,,
, ,,, ,,, ,, ,,,,
Minn. ,0.0535,>,0,0.0535,>,0,15300,30600,n.a.,n.a.,5300,,
"(d, bb, cc, oo, vv)",0.068,>,33310,0.068,>,48700, ,, ,,,,
,0.0785,>,109430,0.0785,>,193480, ,, ,,,,
,0.0985,>,203150,0.0985,>,337930, ,, ,,,,
, ,,, ,,, ,, ,,,,
Miss.,0.04,>,10000,0.04,>,10000,2300,4600,6000,12000,1500,,
,,,,,,, ,, ,,,,
Mo.,0.02,>,1348,0.02,>,1348,16100,32200,n.a,n.a,n.a,,
"(a, b, m, u, bb)",0.025,>,2696,0.025,>,2696, ,,,,,,
,0.03,>,4044,0.03,>,4044, ,, ,, ,,
,0.035,>,5392,0.035,>,5392, ,, ,, ,,
,0.04,>,6740,0.04,>,6740, ,, ,, ,,
,0.045,>,8088,0.045,>,8088, ,, ,, ,,
,0.047,>,9436,0.047,>,9436, ,, ,, ,,
,,,,,,,,,,,,,
Mont.,0.047,>,0,0.047,>,0,16100,32200,n.a,n.a,n.a,,
"(o, u, bb)",0.0565,>,47500,0.0565,>,95000, ,,,,,,
, ,,, ,,, ,, ,,,,
Nebr.,0.0246,>,0,0.0246,>,0,8850,17700,$176 credit,$352 credit,$176 credit,,
"(d, h, m, bb)",0.0351,>,4130,0.0351,>,8250, ,,,,,,
,0.0455,>,24760,0.0455,>,49530, ,, ,,,,
, ,,, ,,, ,, ,,,,
Nev.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
N.H.,none,,,none,,,n.a,n.a,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
N.J. ,0.014,>,0,0.014,>,0,n.a.,n.a.,1000,2000,1500,,
(a),0.0175,>,20000,0.0175,>,20000, ,, ,,,,
,0.035,>,35000,0.0245,>,50000, ,, ,,,,
,0.05525,>,40000,0.035,>,70000, ,, ,,,,
,0.0637,>,75000,0.05525,>,80000, ,, ,,,,
,0.0897,>,500000,0.0637,>,150000, ,, ,,,,
,0.1075,>,1000000,0.0897,>,500000, ,, ,,,,
, ,,,0.1075,>,1000000,,, ,,,,
, ,,, ,,, ,, ,,,,
N.M.,0.015,>,0,0.015,>,0,16100,32200,n.a.,n.a.,4000,,
"(m, o, u, jj)",0.032,>,5500,0.032,>,8000, ,,,,,,
,0.043,>,16500,0.043,>,25000, ,, ,,,,
,0.047,>,33500,0.047,>,50000, ,, ,,,,
,0.049,>,66500,0.049,>,100000, ,, ,,,,
,0.059,>,210000,0.059,>,315000, ,, ,,,,
, ,,, ,,, ,, ,,,,
N.Y.,0.039,>,0,0.039,>,0,8000,16050,n.a.,n.a.,1000,,
"(a, i)",0.044,>,8500,0.044,>,17150, ,, ,,,,
,0.0515,>,11700,0.0515,>,23600, ,, ,,,,
,0.054,>,13900,0.054,>,27900, ,, ,,,,
,0.059,>,80650,0.059,>,161550, ,, ,,,,
,0.0685,>,215400,0.0685,>,323200, ,, ,,,,
,0.0965,>,1077550,0.0965,>,2155350, ,, ,,,,
,0.103,>,5000000,0.103,>,5000000, ,, ,,,,
,0.109,>,25000000,0.109,>,25000000, ,, ,,,,
, ,,, ,,, ,, ,,,,
N.C.,0.0399,>,0,0.0399,>,0,12750,25500,n.a.,n.a.,n.a.,,
, ,,, ,,, ,, ,,,,
N.D.,0.0195,>,48475,0.0195,>,80975,16100,32200,n.a.,n.a.,n.a.,,
"(j, o, u)",0.025,>,244825,0.025,>,298075, ,,,,,,
, ,,, ,,, ,, ,,,,
Ohio,0.0275,>,26050,0.0275,>,26050,n.a.,n.a.,2400,4800,2400,,
"(a, bb, dd, pp)", ,,, ,,, ,, ,,,,
, ,,, ,,, ,, ,,,,
Okla. ,0.025,>,3750,0.025,>,7500,6350,12700,1000,2000,1000,,
